Media Name,Article Link,text,Date,url
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474283,"அரையாண்டு தேர்வு விடுமுறைகள் முடிந்து, பள்ளிகள் துவங்கவுள்ளதால், சொந்த ஊருக்கு சென்ற தொழிலாளர்கள் திரும்பி வந்ததால், திருப்பூர் மத்திய பேருந்து நிலையத்தில் கூட்டம் அதிகளவு இருந்தது.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474283
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474282,விடுமுறை முடிந்து பள்ளிகள் திறக்கப்படவுள்ள நிலையில் வகுப்பறைகள் தயார் செய்யும் பணிகளில் ஈடுபட்டுள்ள ஊழியர்கள்.இடம்: திருநெல்வேலி,2024-01-01,https://www.dinamalar.com/photos/today-photos/474282
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474281,"கோவை கிக்கானி பள்ளியில் ஸ்ரீ கிருஷ்ணா ஸ்வீட்ஸ் சார்பில் துவங்கிய  எப்போ வருவாரோ 2024 ஆன்மீக சொற்பொழிவு நிகழ்ச்சியில் ஆன்மீக தொண்டாற்றும் இறை அன்பர்களுக்கு  அருள் வளர்செம்மல் விருது வழங்கப்பட்டது. இதில்  திருமூர்த்தி, பவானி தியாகராசன், தாமோதரன், சாவித்திரி தாமோதரன், தனம், ராதாகிருஷ்ணன் ஆகியோருக்கு ஸ்ரீ கிருஷ்ணா ஸ்வீட்ஸ் நிர்வாக இயக்குனர் கிருஷ்ணன் விருதுகளை வழங்கினார். அருகில் பேச்சாளர் பாரதி பாஸ்கர், அரசு மருத்துவமனை டீன் நிர்மலா உள்ளிட்டோர்.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474281
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474280,புத்தாண்டு பண்டிகையை முன்னிட்டு  எலியட்ஸ் கடற்கரையில் குவிந்த பொதுமக்கள் கூட்டம்.இடம் : பெசன்ட் நகர்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474280
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474279,"கவிஞர் வைரமுத்து எழுதிய மகா கவிதை நூல் வெளியீட்டு விழா  சென்னை காமராஜர் அரங்கில் நடந்தது.இதை முதல்வர் ஸ்டாலின் வெளியிட,   மத்திய அமைச்சர் சிதம்பரம் பெற்றுக்கொண்டார். உடன் இடமிருந்து வலம் விஞ்ஞானி மயில்சாமி அண்ணாதுரை , கவிஞர் வைரமுத்து, நடிகர் மற்றும் மக்கள் நீதி மய்யம் கட்சி தலைவர் கமல்.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474279
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474274,டில்லி மந்திர் மார்க் பகுதியில் உள்ள திருப்பதி தேவஸ்தானத்திற்கு சொந்தமான பாலாஜி கோயிலில் சிறப்பு அலங்காரத்தை காண வந்த பக்தர்கள்,2024-01-01,https://www.dinamalar.com/photos/today-photos/474274
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474266,திருநெல்வேலி கருப்பன்துறை பகுதியில் மழையை எதிர்பார்த்து தன் அழகிய தோகையை விரித்து ஆடும் மயில்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474266
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474263,பள்ளி விடுமுறை முடிந்து சென்னைக்கு திரும்பும் மக்களால் விழுப்புரம் ஜானகிபுரம் புறவழிச் சாலையில் வாகனங்கள் நீண்ட வரிசையில் அணிவகுத்து நின்றன. இதனால் போக்குவரத்து பாதிப்பு ஏற்பட்டது.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474263
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474262,பொங்கல் பண்டிகையை முன்னிட்டு பயிரப்பட்டுள்ள கரும்புகள்.இடம்:விருதுநகர் அருகே எரிச்சநத்தம்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474262
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474261,கோவை லைட் ஹவுஸ் காளியம்மன் பண அலங்காரத்தில் பக்தர்களுக்கு அருள் பாலித்தார்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474261
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474260,மண்டல பூஜையை முன்னிட்டு திண்டுக்கல் ஆர்.எம். காலனி மணிகண்டன் கோயிலில் அலங்காரத்தில் சுவாமி.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474260
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474259,"குன்னூர் அருகே ஜகதளா கிராமத்தில், ஹெத்தை பண்டிகையை முன்னிட்டு, விரதமிருந்த பக்தர்கள் மடியறையிலிருந்து ஹெத்தை கோயிலுக்கு வந்தனர்.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474259
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474258,"ருப்பூர், வாலிபாளையம் கல்யாண சுப்பிரமணியர் சிறப்பு அலங்காரத்தில் பக்தர்களுக்கு அருள்பாலித்தார்.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474258
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474257,ஆங்கில புத்தாண்டை யொட்டி புதுச்சேரி மணக்குள விநாயகர் கோவிலில் சாமி தரிசனம் செய்ய நீண்ட வரிசையில் காத்திருந்த பக்தர்கள்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474257
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474254,ஆங்கில புத்தாண்டை முன்னிட்டு குன்றத்தூர் முருகன் கோயிலில் சாமி தரிசனம் செய்வதற்கு பக்தர்கள் குவிந்தனர்,2024-01-01,https://www.dinamalar.com/photos/today-photos/474254
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474253,"திருப்பூர், குமார் நகர், புனித சூசையப்பர் ஆலையத்தில் புத்தாண்டை முன்னிட்டு சிறப்பு ஆராதனை நடந்தது.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474253
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474252,ஆங்கில புத்தாண்டையொட்டி சிறப்பு அலங்காரத்தில் பக்தர்களுக்கு அருள் பாலித்த கோவை ஈச்சனாரி மகாலட்சுமி மந்திர் முப்பெரும் தேவிகள்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474252
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474250,"மத்திய பிரதேசம், போபால் பகுதி்யில் புத்தாண்டு கொண்டாடியவர்கள்.",2024-01-01,https://www.dinamalar.com/photos/today-photos/474250
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474249,ஆங்கில புத்தாண்டை முன்னிட்டு சென்னை சாந்தோம் சர்ச்சில் நடந்த சிறப்பு பிரார்த்தனை கூட்டத்தில் பங்கேற்ற கிறிஸ்தவர்கள்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474249
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474248,ஆங்கில புத்தாண்டை முன்னிட்டு விழுப்புரம் நேருஜி ரோடு அமைந்துள்ள வீரவாழிஅம்மன் கோவிலில் அம்மன் சிறப்பு அலங்காரத்தில் பக்தர்களுக்கு அருள் பாலித்தனர்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474248
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474247,ஆங்கிலப் புத்தாண்டை முன்னிட்டு கோவை ரேஸ் கோர்ஸ்சில் கலை கட்டிய கொண்டாட்டம்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474247
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474246,ஆங்கில புத்தாண்டையொட்டி கோவை வாலாங்குளக்கரையில் நடந்த ட்ரோன் ஷோவில்  புத்தாண்டை வரவேற்கும் விதமாக வடிவமைக்கப்பட்ட 2024,2024-01-01,https://www.dinamalar.com/photos/today-photos/474246
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474244,ஆங்கிலப் புத்தாண்டை முன்னிட்டு கோவை ரேஸ் கோர்ஸ்சில் கலை கட்டிய கொண்டாட்டம்.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474244
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474243,ஆங்கில புத்தாண்டையொட்டி கோவை வாலாங்குளக்கரையில் நடந்த லேசர்ஸ் லைட் ஷோ. பார்வையாளர்களை வெகுவாக கவர்ந்தது.,2024-01-01,https://www.dinamalar.com/photos/today-photos/474243
