year,lower_caste_focus,neutral,upper_caste_focus
1998,6880,322,16
1999,6951,278,8
2000,7031,219,10
2001,766,12,0
2002,5339,165,6
2003,7048,222,9
2004,6999,247,10
2005,7074,194,5
2006,7147,121,0
2007,7142,129,2
2008,7152,163,2
2009,6992,183,2
2010,7019,165,1
2011,7073,136,4
2012,5980,142,3
2013,5202,89,0
2014,7943,244,4
2015,7015,191,8
2016,6895,218,5
2017,6861,140,1
2018,7249,181,5
2019,6800,160,3
2020,8049,281,4
2021,7573,254,6
2022,33408,398,13
2023,50489,486,11
2024,46258,495,13
2025,6670,521,6
