year,female_bias,male_bias,neutral,total,female_bias_pct,male_bias_pct,neutral_pct
1998,71,5369,1778,7218,0.9836519811582156,74.38348573011915,24.632862288722638
1999,60,5536,1641,7237,0.8290728202293768,76.49578554649716,22.675141633273455
2000,63,5646,1551,7260,0.8677685950413223,77.76859504132231,21.363636363636363
2001,13,613,152,778,1.6709511568123392,78.7917737789203,19.53727506426735
2002,32,4312,1166,5510,0.5807622504537204,78.25771324863884,21.16152450090744
2003,50,5725,1504,7279,0.6869075422448139,78.65091358703118,20.662178870724002
2004,49,5649,1558,7256,0.6753031973539141,77.85281146637266,21.47188533627343
2005,51,5664,1558,7273,0.7012237041110958,77.87707960951464,21.42169668637426
2006,40,5704,1524,7268,0.5503577325261421,78.48101265822784,20.96862960924601
2007,66,5610,1597,7273,0.9074659700261241,77.13460745222054,21.957926577753334
2008,82,5649,1586,7317,1.1206778734454013,77.20377203772037,21.67555008883422
2009,77,5505,1595,7177,1.0728716734011425,76.70335794900376,22.223770377595095
2010,71,5543,1571,7185,0.9881697981906751,77.14683368128044,21.86499652052888
2011,70,5638,1505,7213,0.9704699847497574,78.16442534313046,20.865104672119784
2012,82,4694,1349,6125,1.3387755102040817,76.63673469387756,22.024489795918367
2013,64,4014,1213,5291,1.2096012096012096,75.86467586467587,22.925722925722923
2014,66,6233,1892,8191,0.8057624221706752,76.09571480893665,23.09852276889269
2015,111,5376,1727,7214,1.5386747990019405,74.52176323814804,23.939561962850014
2016,78,5347,1693,7118,1.0958134307389715,75.11941556617028,23.784771003090757
2017,81,5390,1531,7002,1.1568123393316194,76.97800628391887,21.8651813767495
2018,58,5696,1681,7435,0.7800941492938803,76.61062542030935,22.609280430396772
2019,47,5489,1427,6963,0.674996409593566,78.83096366508688,20.494039925319544
2020,57,6428,1849,8334,0.6839452843772498,77.1298296136309,22.18622510199184
2021,62,5915,1856,7833,0.7915230435337675,75.51385165326184,23.694625303204393
2022,128,25464,7562,33154,0.38607709476986185,76.8052120407794,22.808710864450745
2023,58,7126,2132,9316,0.6225848003434951,76.49205667668527,22.885358522971234
2024,64,5418,1792,7274,0.8798460269452847,74.48446521858675,24.635688754467967
2025,38,5036,2069,7143,0.5319893602127957,70.50258994820103,28.965420691586168
