year,centrist,left_leaning,neutral,right_leaning,total,centrist_pct,left_leaning_pct,neutral_pct,right_leaning_pct
1998,461,763,4500,1494,7218,6.386810750900526,10.570795234136881,62.34413965087282,20.698254364089774
1999,347,321,5608,961,7237,4.794804476993229,4.435539588227166,77.49067293077242,13.278983004007186
2000,520,621,4636,1483,7260,7.162534435261708,8.553719008264462,63.85674931129477,20.426997245179063
2001,59,51,490,178,778,7.583547557840617,6.555269922879177,62.98200514138818,22.87917737789203
2002,553,767,2358,1832,5510,10.036297640653357,13.920145190562613,42.794918330308526,33.2486388384755
2003,655,946,3327,2351,7279,8.998488803407062,12.996290699271878,45.70682786096991,32.298392636351146
2004,644,1006,3503,2103,7256,8.875413450937156,13.864388092613009,48.277287761852264,28.982910694597575
2005,750,1065,3291,2167,7273,10.31211329575141,14.643200879967,45.24955314175718,29.795132682524404
2006,805,1271,2998,2194,7268,11.075949367088606,17.48761695101816,41.24931205283434,30.18712162905889
2007,657,1143,3427,2046,7273,9.033411247078234,15.715660662725147,47.11948301938677,28.131445070809846
2008,626,915,3911,1865,7317,8.55541888752221,12.505125051250513,53.45086784201175,25.488588219215526
2009,549,929,4054,1645,7177,7.649435697366588,12.944127072593007,56.48599693465236,22.920440295388044
2010,558,1007,3983,1637,7185,7.766179540709812,14.015309672929716,55.43493389004871,22.78357689631176
2011,467,1171,4142,1433,7213,6.474421183973382,16.234576459170942,57.42409538333565,19.86690697352003
2012,474,1073,3303,1275,6125,7.738775510204082,17.518367346938778,53.926530612244896,20.816326530612244
2013,370,783,2848,1290,5291,6.993006993006993,14.7987147987148,53.82725382725383,24.38102438102438
2014,681,1017,4400,2093,8191,8.314003174215602,12.416066414357221,53.717494811378344,25.552435600048835
2015,582,650,4396,1586,7214,8.067646243415581,9.010257831993346,60.937066814527306,21.985029110063763
2016,581,735,4234,1568,7118,8.16240516999157,10.325934251194155,59.48300084293341,22.028659735880865
2017,547,839,4076,1540,7002,7.81205369894316,11.982290774064552,58.21193944587261,21.99371608111968
2018,626,886,4334,1589,7435,8.419636852723604,11.91661062542031,58.29186281102891,21.37188971082717
2019,574,753,4122,1514,6963,8.243573172483124,10.814304179233089,59.19862128392934,21.743501364354444
2020,731,1197,4126,2280,8334,8.77129829613631,14.362850971922247,49.508039356851455,27.35781137508999
2021,678,1149,3969,2037,7833,8.65568747606281,14.668709306779013,50.67024128686327,26.005361930294907
2022,3731,6729,16316,7043,33819,11.032259972204974,19.89709926372749,48.245069339720274,20.82557142434726
2023,5477,10803,23750,10956,50986,10.74216451574942,21.18816930137685,46.58141450594281,21.488251676930922
2024,4816,10336,21313,10301,46766,10.298079801565239,22.101526750203142,45.573707394260786,22.026686053970835
2025,592,1122,3515,1968,7197,8.22564957621231,15.58982909545644,48.8397943587606,27.344726969570655
