year,central_focus,east_focus,neutral,north_focus,north_negative_stereotype,northeast_focus,south_focus,south_negative_stereotype,west_focus,west_negative_stereotype
1998,1,3,934,5008,0,47,654,0,571,0
1999,1,1,974,5069,0,33,356,0,803,0
2000,9,7,946,5353,0,67,339,0,539,0
2001,2,8,105,549,0,11,22,0,81,0
2002,17,54,712,4020,2,70,237,0,398,0
2003,69,87,1023,5274,0,189,250,0,387,0
2004,26,68,1132,5144,1,188,306,0,391,0
2005,16,81,1106,5344,2,156,254,0,313,1
2006,15,55,1017,5469,0,156,241,0,315,0
2007,11,50,1152,5441,0,165,240,0,214,0
2008,15,66,1350,5184,0,120,228,0,354,0
2009,9,59,1333,5057,0,94,233,0,392,0
2010,22,65,1377,5126,0,51,231,0,313,0
2011,9,53,1336,5185,0,58,265,0,307,0
2012,11,67,1014,4572,0,73,200,0,188,0
2013,22,42,871,3825,0,46,197,0,288,0
2014,22,84,1166,5892,0,231,361,0,435,0
2015,7,37,1351,5020,0,270,224,0,305,0
2016,15,62,1249,5179,0,117,170,0,326,0
2017,20,79,1157,5071,0,151,182,0,342,0
2018,26,68,1093,5456,0,245,252,0,295,0
2019,14,68,1072,4978,0,309,259,1,262,0
2020,14,44,1161,6003,0,243,261,0,608,0
2021,14,46,940,5584,1,245,235,0,768,0
2022,9,98,2089,29428,1,582,487,0,1125,0
2023,22,93,3049,44712,0,1236,633,1,1240,0
2024,26,88,2605,41168,0,864,588,0,1427,0
2025,15,53,1173,4737,0,220,194,0,805,0
