year,buddhist_focus,buddhist_negative_stereotype,christian_focus,christian_negative_stereotype,hindu_focus,hindu_negative_stereotype,jain_focus,jain_negative_stereotype,muslim_focus,muslim_negative_stereotype,neutral,sikh_focus,sikh_negative_stereotype
1998,14,1,97,0,512,0,92,1,247,0,4489,1765,0
1999,6,0,135,0,365,0,67,0,160,0,3930,2574,0
2000,21,0,164,0,289,0,52,0,296,0,4714,1724,0
2001,5,0,15,0,35,0,10,0,49,0,525,139,0
2002,48,0,61,0,611,0,35,0,548,1,3051,1155,0
2003,55,0,74,0,693,0,53,0,822,4,4088,1490,0
2004,58,0,73,0,450,0,46,0,663,0,4117,1849,0
2005,67,0,93,0,395,0,59,0,739,1,4061,1858,0
2006,81,0,125,1,444,0,48,0,715,4,4355,1494,1
2007,101,0,116,0,357,0,33,0,684,4,4728,1249,1
2008,66,0,109,0,304,1,29,0,553,1,4786,1468,0
2009,29,0,65,0,241,0,39,0,520,1,4959,1323,0
2010,31,0,46,0,263,0,56,0,418,2,5226,1142,1
2011,24,0,54,0,268,1,56,0,335,2,5232,1241,0
2012,12,0,66,0,223,0,48,0,312,1,4182,1281,0
2013,6,0,66,0,262,1,31,0,310,0,3495,1120,0
2014,11,0,98,0,414,0,36,0,510,0,5504,1618,0
2015,12,0,95,0,313,0,47,0,452,3,5160,1132,0
2016,15,0,94,0,279,0,42,0,444,3,5239,1002,0
2017,4,0,143,0,286,0,33,0,444,1,5088,1003,0
2018,13,0,104,0,318,0,35,0,345,1,5510,1109,0
2019,3,0,128,0,268,0,39,0,413,1,5036,1075,0
2020,11,0,117,0,397,0,59,0,322,0,5999,1429,0
2021,10,0,115,0,393,0,61,0,279,1,5603,1371,0
2022,39,1,304,1,1783,0,591,0,2905,8,24965,3222,0
2023,78,0,405,0,2281,2,1104,0,4261,7,37735,5109,4
2024,69,0,310,0,2540,13,942,0,3701,5,34583,4600,3
2025,12,0,74,0,424,1,45,0,230,0,5338,1073,0
