year,article_count,political_bias_mean,political_bias_median,political_bias_std,political_bias_min,political_bias_max,political_bias_q25,political_bias_q75,political_bias_high_count,political_bias_high_pct,gender_bias_mean,gender_bias_median,gender_bias_std,gender_bias_min,gender_bias_max,gender_bias_q25,gender_bias_q75,gender_bias_high_count,gender_bias_high_pct,religious_bias_mean,religious_bias_median,religious_bias_std,religious_bias_min,religious_bias_max,religious_bias_q25,religious_bias_q75,religious_bias_high_count,religious_bias_high_pct,caste_bias_mean,caste_bias_median,caste_bias_std,caste_bias_min,caste_bias_max,caste_bias_q25,caste_bias_q75,caste_bias_high_count,caste_bias_high_pct,region_bias_mean,region_bias_median,region_bias_std,region_bias_min,region_bias_max,region_bias_q25,region_bias_q75,region_bias_high_count,region_bias_high_pct,overall_bias_mean,overall_bias_median,political_bias_ma_5y,gender_bias_ma_5y,religious_bias_ma_5y,caste_bias_ma_5y,region_bias_ma_5y,overall_bias_ma_5y
1998,7218,0.3362669714329876,0.0,0.44594761565423385,0.0,1.0,0.0,1.0,2237,30.991964533111666,0.4550860364090194,0.4289999902248382,0.28574423793914594,0.0,1.0,0.25,0.6000000238418579,2367,32.7930174563591,0.17630063766862886,0.0,0.23117025087632986,0.0,0.800000011920929,0.0,0.5,114,1.5793848711554446,0.9126765034322792,1.0,0.2545914471970549,0.0,1.0,1.0,1.0,6426,89.02743142144638,0.3828193413547348,0.5,0.17034714658384748,0.0,0.7400000095367432,0.25,0.5,347,4.8074258797450815,0.4526298980595299,0.45,0.3362669714329876,0.4550860364090194,0.17630063766862886,0.9126765034322792,0.3828193413547348,0.4526298980595299
1999,7237,0.2106434986936267,0.0,0.39789365053204845,0.0,1.0,0.0,0.0,1450,20.03592648887661,0.45073055272209755,0.4289999902248382,0.2611812978873926,0.0,1.0,0.25,0.6000000238418579,2279,31.49094928837916,0.21429252478732774,0.0,0.23884536120586286,0.0,0.699999988079071,0.0,0.5,76,1.0501589056238774,0.9075145781867919,1.0,0.2560031269824601,0.0,1.0,1.0,1.0,6367,87.97844410667403,0.37254373451054745,0.453000009059906,0.16266387922199785,0.0,0.7400000095367432,0.25,0.5,314,4.338814425867072,0.4311449777800782,0.4200000047683715,0.27345523506330716,0.4529082945655585,0.1952965812279783,0.9100955408095356,0.37768153793264114,0.44188743791980406
2000,7260,0.3268044077003626,0.0,0.4464418854410119,0.0,1.0,0.0,1.0,2211,30.454545454545457,0.4487953177686606,0.4289999902248382,0.24764012352819825,0.0,1.0,0.25,0.6000000238418579,2366,32.58953168044077,0.16626115742834804,0.0,0.2302293720627534,0.0,0.800000011920929,0.0,0.5,138,1.9008264462809916,0.9371655649184852,1.0,0.21816607449563072,0.0,1.0,1.0,1.0,6680,92.01101928374655,0.37002562067828065,0.453000009059906,0.16295732724212936,0.0,0.7400000095367432,0.25,0.5,277,3.815426997245179,0.4498104136988274,0.4333999991416931,0.2912382926089923,0.45153730229992584,0.18561810662810155,0.9191188821791855,0.375129565514521,0.44452842984614516
2001,778,0.33708868890158006,0.0,0.45266861637304556,0.0,1.0,0.0,1.0,248,31.876606683804624,0.44943701906804867,0.449999988079071,0.2346405210432409,0.0,1.0,0.3120000064373016,0.6000000238418579,255,32.77634961439589,0.15366452482258447,0.0,0.22475492647675624,0.0,0.699999988079071,0.0,0.5,15,1.9280205655526992,0.9620539846334482,1.0,0.16949585197849476,0.0,1.0,1.0,1.0,739,94.98714652956298,0.36680591347744657,0.3700000047683716,0.15795214486764758,0.0,0.7400000095367432,0.25,0.5,38,4.884318766066838,0.45381002618062166,0.4333999991416931,0.30270089168213926,0.4510122314919566,0.17762971117672227,0.9298526577927512,0.3730486525052524,0.4468488289297643
2002,5510,0.502826497229171,0.5,0.4579384772082215,0.0,1.0,0.0,1.0,2524,45.80762250453721,0.4511087127009613,0.4289999902248382,0.24540626995793272,0.0,1.0,0.2742500007152557,0.6000000238418579,1800,32.66787658802178,0.20959491919178497,0.0,0.2395598128314684,0.0,0.800000011920929,0.0,0.5,244,4.428312159709619,0.9268571690401018,1.0,0.22905535961469145,0.0,1.0,1.0,1.0,4980,90.38112522686026,0.37656043628112373,0.5,0.16351104438698544,0.0,0.7400000095367432,0.25,0.5,164,2.9764065335753176,0.4933895468886286,0.5,0.3427260127915456,0.45103152773375754,0.18402275277973482,0.9292535600422213,0.37375100926042665,0.4561569725215372
2003,7279,0.47832408292327283,0.5,0.46014102078968955,0.0,1.0,0.0,1.0,3178,43.659843385080364,0.46024371625458677,0.4550000131130218,0.24875719481893876,0.0,1.0,0.2860000133514404,0.6000000238418579,2502,34.372853413930486,0.20434881242864456,0.0,0.2371601900044175,0.0,0.8999999761581421,0.0,0.5,266,3.65434812474241,0.9341283145473626,1.0,0.2205314941534435,0.0,1.0,1.0,1.0,6662,91.523560928699,0.3732757253774756,0.5,0.16505575517751425,0.0,0.7400000095367432,0.25,0.5,206,2.830059074048633,0.4900641303062685,0.5,0.3711374350896027,0.45206306370287097,0.18963238773173793,0.933543922265238,0.3718422860649748,0.46364381897088486
2004,7256,0.4573211135320127,0.5,0.4601037805000463,0.0,1.0,0.0,1.0,3023,41.66207276736494,0.4645210876873496,0.5,0.25775423002668985,0.0,1.0,0.277999997138977,0.6000000238418579,2604,35.887541345093716,0.20283062344513497,0.0,0.2380323243255546,0.0,0.800000011920929,0.0,0.5,178,2.4531422271223815,0.9324186881911728,1.0,0.2261230132639883,0.0,1.0,1.0,1.0,6640,91.51047409040794,0.36950799407357354,0.5,0.17388085476000975,0.0,0.7400000095367432,0.25,0.5,225,3.1008820286659318,0.48531990138584874,0.4888000011444092,0.4204729580572798,0.45482117069592143,0.1873400074632994,0.9385247442661141,0.37123513797758,0.474478803692039
2005,7273,0.48028200193594234,0.5,0.45683215308846503,0.0,1.0,0.0,1.0,3177,43.68211192080297,0.4668847811033789,0.5,0.2578979818808663,0.0,1.0,0.277999997138977,0.6110000014305115,2668,36.68362436408635,0.20870521174128864,0.0,0.24094597327500944,0.0,0.699999988079071,0.0,0.5,245,3.368623676612127,0.9441559193498344,1.0,0.20587801973593564,0.0,1.0,1.0,1.0,6760,92.94651450570603,0.3770397367209676,0.5,0.17411530823996754,0.0,0.7400000095367432,0.25,0.5,259,3.5611164581328203,0.4954135301702824,0.5,0.4511684769043958,0.4584390633628651,0.19582881832588753,0.939922815152384,0.37263796118611736,0.48359942698633
2006,7268,0.5033076500205398,0.5,0.44363250604915777,0.0,1.0,0.0,1.0,3311,45.5558613098514,0.4569570735259926,0.449999988079071,0.2457572046795155,0.0,1.0,0.2730000019073486,0.6000000238418579,2510,34.53494771601541,0.1884756475475852,0.0,0.2366498151196715,0.0,0.8999999761581421,0.0,0.5,309,4.251513483764447,0.9578648873276283,1.0,0.17574011691577962,0.0,1.0,1.0,1.0,6869,94.51018161805173,0.37603219683001704,0.5,0.16851936313745136,0.0,0.7400000095367432,0.25,0.5,340,4.678040726472207,0.49652749105035254,0.5,0.4844122691281877,0.4599430742544538,0.20279104287088767,0.9390849956912201,0.37448321785663147,0.49214291996027615
2007,7273,0.4586503506485344,0.5,0.45332890237217555,0.0,1.0,0.0,1.0,3031,41.67468719923003,0.4575395316477657,0.4550000131130218,0.25361751779177866,0.0,1.0,0.25,0.6000000238418579,2543,34.96493881479444,0.168285714987669,0.0,0.23422069326031572,0.0,0.8569999933242798,0.0,0.5,281,3.8636051148081947,0.9592246666876401,1.0,0.17486460655723104,0.0,1.0,1.0,1.0,6888,94.70644850818094,0.3778079203727582,0.5,0.18084435777531876,0.0,0.7400000095367432,0.25,0.5,351,4.82606902241166,0.48430163686887345,0.4866000056266785,0.4755770398120604,0.46122923804381466,0.19452920203006446,0.9455584952207277,0.3747327146749584,0.49032533795632516
